# Force          
# CofR           : 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00
#                
# Time           	total_x total_y total_z	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
2.753            	-2.9756927772e-02 -5.4079952364e-02 2.8475599058e-01	(-3.1831857195e-02 -5.5714019219e-02 2.8342647933e-01)	(2.0749294225e-03 1.6340668546e-03 1.3295112573e-03)
2.754            	-2.8931181637e-02 -5.5763471019e-02 2.9305360164e-01	(-3.1003469197e-02 -5.7400898210e-02 2.9172451470e-01)	(2.0722875602e-03 1.6374271904e-03 1.3290869420e-03)
2.755            	-3.0115289822e-02 -5.4602694020e-02 2.8823337528e-01	(-3.2181752885e-02 -5.6242141098e-02 2.8690582250e-01)	(2.0664630632e-03 1.6394470781e-03 1.3275527820e-03)
2.756            	-2.9243593107e-02 -5.5184014592e-02 2.9300394805e-01	(-3.1307243301e-02 -5.6827010337e-02 2.9167694579e-01)	(2.0636501946e-03 1.6429957452e-03 1.3270022607e-03)
2.757            	-2.9760709679e-02 -5.4641348513e-02 2.9170339182e-01	(-3.1820488019e-02 -5.6287584615e-02 2.9037728760e-01)	(2.0597783397e-03 1.6462361024e-03 1.3261042270e-03)
2.758            	-2.9719535769e-02 -5.4612048770e-02 2.9281203686e-01	(-3.1775906204e-02 -5.6261593196e-02 2.9148674960e-01)	(2.0563704346e-03 1.6495444262e-03 1.3252872585e-03)
2.759            	-3.0938138490e-02 -5.3378797250e-02 2.8853826797e-01	(-3.2987961169e-02 -5.5031311647e-02 2.8721453708e-01)	(2.0498226786e-03 1.6525143974e-03 1.3237308869e-03)
2.76             	-2.9867470721e-02 -5.4488419753e-02 2.9475573263e-01	(-3.1914448788e-02 -5.6144265554e-02 2.9343261733e-01)	(2.0469780668e-03 1.6558458007e-03 1.3231153010e-03)
2.761            	-2.9790491252e-02 -5.4513098912e-02 2.9614763835e-01	(-3.1835228641e-02 -5.6172392386e-02 2.9482497452e-01)	(2.0447373891e-03 1.6592934742e-03 1.3226638248e-03)
2.762            	-2.9991162808e-02 -5.4259139654e-02 2.9610098564e-01	(-3.2033450538e-02 -5.5921756151e-02 2.9477895172e-01)	(2.0422877301e-03 1.6626164975e-03 1.3220339250e-03)
2.763            	-3.1299049192e-02 -5.3126310273e-02 2.9191329963e-01	(-3.3335560209e-02 -5.4791554648e-02 2.9059273537e-01)	(2.0365110165e-03 1.6652443748e-03 1.3205642610e-03)
2.764            	-3.0140157508e-02 -5.4210444246e-02 2.9842959125e-01	(-3.2174666392e-02 -5.5879024204e-02 2.9710943140e-01)	(2.0345088836e-03 1.6685799581e-03 1.3201598589e-03)
